,PROVINCIA,PRODUTO,TOTAL_VENTAS,GENERO,RANGO_ETARIO,ANIO
189,LA RIOJA,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,103,FEM,ADULTO,2019
190,LA RIOJA,ZAPATILLA FILA F-RETRO SPORT 2.0 MUJER,98,FEM,ADULTO,2019
191,MENDOZA,ZAPATILLA FILA SLIDE MUJER,1360,FEM,ADULTO,2019
192,MENDOZA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,1150,FEM,ADULTO,2019
193,MENDOZA,ZAPATILLA FILA FABULOUS MUJER,1107,FEM,ADULTO,2019
194,MENDOZA,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,1025,FEM,ADULTO,2019
195,MENDOZA,ZAPATILLA FILA DISRUPTOR II PREMIUM MUJER,1019,FEM,ADULTO,2019
196,MISIONES,ZAPATILLA FILA LUGANO 5.0 MUJER,269,FEM,ADULTO,2019
197,MISIONES,ZAPATILLA FILA SLIDE MUJER,157,FEM,ADULTO,2019
198,RÍO NEGRO,OJOTA FILA DRIFTER BASIC MUJER,683,FEM,ADULTO,2019
199,RÍO NEGRO,ZAPATILLA FILA ETERNITY MUJER,507,FEM,ADULTO,2019
200,RÍO NEGRO,ZAPATILLA FILA EURO JOGGER SPORT MUJER,504,FEM,ADULTO,2019
201,SALTA,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,503,FEM,ADULTO,2019
202,SALTA,ZAPATILLA FILA LADY MUJER,416,FEM,ADULTO,2019
203,SALTA,ZAPATILLA FILA EURO JOGGER SPORT MUJER,413,FEM,ADULTO,2019
204,SAN JUAN,ZAPATILLA FILA EURO JOGGER WEDGE MUJER,768,FEM,ADULTO,2019
205,SAN JUAN,ZAPATILLA FILA EURO JOGGER SPORT MUJER,466,FEM,ADULTO,2019
206,SANTA CRUZ,ZAPATILLA FILA EURO JOGGER SPORT MUJER,299,FEM,ADULTO,2019
207,SANTA CRUZ,ZAPATILLA FILA EURO JOGGER WEDGE SL MUJER,221,FEM,ADULTO,2019
208,SANTA FE,ZAPATILLA FILA EURO JOGGER SPORT MUJER,5062,FEM,ADULTO,2019
209,SANTA FE,ZAPATILLA FILA LADY MUJER,3715,FEM,ADULTO,2019
210,SANTA FE,ZAPATILLA FILA SWEET MUJER,3552,FEM,ADULTO,2019
211,SANTA FE,ZAPATILLA FILA SLIDE MUJER,3445,FEM,ADULTO,2019
212,SANTA FE,ZAPATILLA FILA FABULOUS MUJER,3384,FEM,ADULTO,2019
213,SANTIAGO DEL ESTERO,ZAPATILLA FILA SWEET MUJER,858,FEM,ADULTO,2019
214,SANTIAGO DEL ESTERO,ZAPATILLA FILA EURO JOGGER SPORT MUJER,537,FEM,ADULTO,2019
